num,to,amount
17284,stradaxlaliberta,50.000 HIVE
17285,pousinha,30.000 HIVE
17286,harbiter,20.000 HIVE
18489,mad-runner,50.000 HIVE
18490,bencwarmer,30.000 HIVE
18491,stradaxlaliberta,20.000 HIVE
19725,noemilunastorta,50.000 HIVE
19726,harbiter,25.000 HIVE
19727,p1k4ppa10,25.000 HIVE
20823,mad-runner,50.000 HIVE
20824,p1k4ppa10,25.000 HIVE
20825,stefanelthegreat,25.000 HIVE
22129,harbiter,50.000 HIVE
22130,pousinha,16.660 HIVE
22131,bencwarmer,16.660 HIVE
22132,noemilunastorta,16.660 HIVE
24257,mad-runner,50.000 HIVE
24258,stefanelthegreat,25.000 HIVE
24259,lozio71,25.000 HIVE
25407,mad-runner,25.000 HIVE
25408,p1k4ppa10,25.000 HIVE
25409,darwinjj,25.000 HIVE
25410,lozio71,25.000 HIVE
26789,stefano.massari,33.330 HIVE
26790,delilhavores,33.330 HIVE
26791,pousinha,33.330 HIVE
28030,lozio71,30.000 HIVE
28031,delilhavores,30.000 HIVE
28032,noemilunastorta,20.000 HIVE
28033,duvinca,20.000 HIVE
28887,noemilunastorta,50.000 HIVE
28889,lozio71,30.000 HIVE
28890,esteva1820,2.850 HIVE
28891,stefanelthegreat,2.850 HIVE
28892,pousinha,2.850 HIVE
28893,steveguereschi,2.850 HIVE
28894,harbiter,2.850 HIVE
28895,stradaxlaliberta,2.850 HIVE
28896,delilhavores,2.850 HIVE
30276,delilhavores,50.000 HIVE
30277,mad-runner,12.500 HIVE
30278,lozio71,12.500 HIVE
30279,pousinha,12.500 HIVE
30280,stefano.massari,12.500 HIVE
31594,stefano.massari,40.000 HIVE
31595,lozio71,40.000 HIVE
31596,darwinjj,4.000 HIVE
31597,steveguereschi,4.000 HIVE
31598,stefanelthegreat,4.000 HIVE
31600,jorge234nv,4.000 HIVE
31601,pousinha,4.000 HIVE
32874,duvinca,16.660 HIVE
32875,mad-runner,16.660 HIVE
32876,stefano.massari,16.660 HIVE
32877,noemilunastorta,16.660 HIVE
32878,delilhavores,16.660 HIVE
32879,lozio71,16.660 HIVE
34072,jorge234nv,50.000 HIVE
34073,mad-runner,5.550 HIVE
34074,will91,5.550 HIVE
34075,lozio71,5.550 HIVE
34076,noemilunastorta,5.550 HIVE
34077,steveguereschi,5.550 HIVE
34078,pousinha,5.550 HIVE
34079,harbiter,5.550 HIVE
34080,delilhavores,5.550 HIVE
34081,stefano.massari,5.550 HIVE
35240,lozio71,10.000 HIVE
35241,mad-runner,10.000 HIVE
35242,steveguereschi,30.000 HIVE
35243,stefano.massari,50.000 HIVE
36029,pousinha,6.660 HIVE
36030,lozio71,6.660 HIVE
36031,mad-runner,6.660 HIVE
36032,noemilunastorta,30.000 HIVE
36033,delilhavores,50.000 HIVE
36599,pousinha,10.000 HIVE
36600,stefano.massari,10.000 HIVE
36601,noemilunastorta,10.000 HIVE
36602,duvinca,10.000 HIVE
36603,mad-runner,10.000 HIVE
36604,steveguereschi,50.000 HIVE
37104,steveguereschi,35.000 HIVE
37105,pousinha,35.000 HIVE
37106,mad-runner,15.000 HIVE
37108,delilhavores,15.000 HIVE
38099,delilhavores,30.000 HIVE
38100,lozio71,30.000 HIVE
38101,harbiter,8.000 HIVE
38102,duvinca,8.000 HIVE
38103,pousinha,8.000 HIVE
38104,mad-runner,8.000 HIVE
38105,stefano.massari,8.000 HIVE
39185,pousinha,5.000 HIVE
39186,stefano.massari,5.000 HIVE
39187,mad-runner,5.000 HIVE
39188,noemilunastorta,5.000 HIVE
39189,delilhavores,30.000 HIVE
39190,steveguereschi,50.000 HIVE
39763,noemilunastorta,10.000 HIVE
39764,delilhavores,20.000 HIVE
39765,mad-runner,35.000 HIVE
39766,steveguereschi,35.000 HIVE
40278,delilhavores,6.660 HIVE
40279,mad-runner,6.660 HIVE
40280,steveguereschi,6.660 HIVE
40281,pousinha,15.000 HIVE
40282,stefano.massari,15.000 HIVE
40283,harbiter,50.000 HIVE
40739,conchita0806,45.000 HIVE
40740,mad-runner,15.000 HIVE
40741,lozio71,15.000 HIVE
40742,harbiter,15.000 HIVE
40743,pousinha,10.000 HIVE
41234,mad-runner,35.000 HIVE
41235,stefano.massari,35.000 HIVE
41236,pousinha,10.000 HIVE
41237,delilhavores,10.000 HIVE
41238,noemilunastorta,10.000 HIVE
41625,noemilunastorta,5.000 HIVE
41626,delilhavores,5.000 HIVE
41627,mad-runner,20.000 HIVE
41628,stefano.massari,35.000 HIVE
41629,sissim72,35.000 HIVE
42108,stefano.massari,10.000 HIVE
42109,mad-runner,20.000 HIVE
42110,pousinha,20.000 HIVE
42111,barnabo73,50.000 HIVE
42553,harbiter,50.000 HIVE
42554,pousinha,30.000 HIVE
42555,stefano.massari,20.000 HIVE
43022,harbiter,10.000 HIVE
43023,butterfly-jt9,10.000 HIVE
43024,stefano.massari,30.000 HIVE
43025,sissim72,50.000 HIVE
43469,sissim72,50.000 HIVE
43470,delilhavores,30.000 HIVE
43471,mad-runner,6.660 HIVE
43472,stefano.massari,6.660 HIVE
43473,barnabo73,6.660 HIVE
43851,mad-runner,10.000 HIVE
43852,noemilunastorta,20.000 HIVE
43853,pousinha,20.000 HIVE
43854,delilhavores,25.000 HIVE
43855,duvinca,25.000 HIVE
44386,stefano.massari,10.000 HIVE
44387,p1k4ppa10,10.000 HIVE
44388,delilhavores,10.000 HIVE
44389,duvinca,10.000 HIVE
44390,pousinha,10.000 HIVE
44391,harbiter,25.000 HIVE
44392,mad-runner,25.000 HIVE
44833,duvinca,10.000 HIVE
44834,stefano.massari,10.000 HIVE
44835,p1k4ppa10,10.000 HIVE
44836,harbiter,10.000 HIVE
44837,mad-runner,10.000 HIVE
44838,sissim72,25.000 HIVE
44839,pousinha,25.000 HIVE
45251,butterfly-jt9,10.000 HIVE
45252,mad-runner,10.000 HIVE
45253,pousinha,15.000 HIVE
45254,delilhavores,15.000 HIVE
45255,stefano.massari,25.000 HIVE
45256,duvinca,25.000 HIVE
45713,harbiter,12.500 HIVE
45714,delilhavores,12.500 HIVE
45715,duvinca,12.500 HIVE
45716,pousinha,12.500 HIVE
45717,sissim72,50.000 HIVE
